codigoparc,X,Y,Especie,k
I33-2-1,-89.44888231,14.79917004,PINUOO,0.8263277883221151
I12-10-16,-90.50219,14.79917007,PINUOO,0.2642642928618015
I12-10-9,-90.49333,14.79972007,PINUOO,0.24138963903464866
I12-10-19,-90.50086,14.79994007,PINUOO,0.2397351464920367
I12-10-14,-90.50222,14.8,PINUOO,0.1527348248874923
I12-10-15,-90.50142,14.80053007,PINUOO,0.21517427716529275
I12-10-10,-90.49417,14.80111007,PINUOO,0.20858165568482254
I12-10-13,-90.50031,14.80222007,PINUOO,0.11892365727295263
I64-13-2,-91.35068757,14.80843037,CUPRLU,6.497896760201636
I64-13-1,-91.3509967,14.80908001,CUPRLU,0.45973315421507016
I64-7-3,-91.27788329,14.81081179,PINUPS,0.07994610412980936
I64-7-2,-91.277494,14.81107523,CUPRLU,0.1384029848188827
I12-10-12,-90.49861,14.82361007,PINUOO,0.18363969681145606
I64-8-4,-91.37205475,14.82425851,CUPRLU,0.07031420395964015
I61-1-1,-91.53270328,14.82461515,CUPRLU,0.20332976390430937
I64-8-3,-91.37326817,14.82563682,CUPRLU,0.1437408895559246
I61-2-1,-91.56420458,14.99753374,PINUPS,0.486961548476634
I63-4-1,-91.51626418,15.05712436,PINURU,0.05057946239882985
I63-6-1,-91.53467583,15.10614501,PINURU,0.03454524624689991
I32-15-1,-89.33774139,15.18099941,PINUCH,0.09671509738788543
I32-14-1,-89.33857137,15.18238645,MIXTAS*,0.09887014228320473
I73-7-1,-91.03418553,15.32628716,PINUCH,0.24832763054486712
I73-4-1,-91.03418553,15.32628716,PINUMI,0.40416451190736374
I73-12-1,-90.93799278,15.32661401,PINUPS,0.3781327161020063
I73-12-2,-90.93840463,15.3275894,PINUPS,0.5435212448527916
I73-5-1,-90.697322,15.34957213,PINUMI,0.45442064498167994
I73-6-1,-90.69949315,15.3503566,PINUMI,0.2451029666296512
I73-2-1,-91.14514658,15.41622683,PINUPS,2.274388489409745
I73-1-1,-91.14533594,15.41720245,CUPRLU,0.2679623458760127
I73-4-2,-90.7331633,15.43881613,PINUMI,0.2820488573384787
I73-3-1,-90.73454262,15.43890507,PINUMI,0.28270251563858234
I73-3-2,-90.73454262,15.43890507,PINUMI,0.39950875167302
I73-18-2,-90.9246251,15.44961398,PINUCI,0.30169153514572966
I73-19-2,-90.92571554,15.44964804,CUPRLU,0.29860603657054385
I73-20-1,-90.90187685,15.44982811,PINUMI,0.1348793805923605
I73-16-1,-91.15981903,15.45365758,PINUMI,0.20357817435406844
I73-18-1,-90.89011459,15.45419681,PINUCI,0.3436994221542849
I73-16-2,-91.16019434,15.4544609,PINUMI,0.21442886835532562
I73-21-1,-90.92926266,15.46601957,PINUMI,0.2665310527845214
I73-19-1,-90.88089738,15.46944335,CUPRLU,0.18895129950817835
I74-4-1,-91.4783029,15.7244648,PINUPS,0.1294868589486059
I74-3-2,-91.4778078,15.72630168,CUPRLU,0.15678768411373054
I74-1-1,-91.4522094,15.75168442,CUPRLU,0.15468591330290474
I74-5-5,-91.55435874,15.98314103,CUPRLU,0.12878730107438544
I74-5-9,-91.54774427,15.98318239,CUPRLU,0.17200934191130374
I74-5-10,-91.54983068,15.98375061,CUPRLU,0.4680842978877361
I74-5-3,-91.55723027,15.98376858,CUPRLU,0.11869402511452529
I74-5-4,-91.55592231,15.98377501,CUPRLU,0.21357912398540593
I74-5-11,-91.55179621,15.98442784,CUPRLU,0.24557829615101082
I74-5-8,-91.54689454,15.98506629,CUPRLU,0.2156668256678751
I74-5-6,-91.55157798,15.98557665,CUPRLU,0.20702654582864988
I74-5-7,-91.54907529,15.98580576,CUPRLU,0.3957299072580254
I74-5-1,-91.55720482,15.98603707,CUPRLU,0.12628487073823882
I74-5-2,-91.55921482,15.98628023,CUPRLU,0.06501814421758897
I74-5-12,-91.55530105,15.9864531,CUPRLU,0.27179098219839903
I74-5-13,-91.55530105,15.9864531,CUPRLU,1.4822887919639767
I40-5-1,-90.13927364,13.95311252,TABEDO,1.8973273091895235
I40-6-1,-90.13934538,13.95460424,TABEDO,2.561430215388911
I40-3-3,-90.05076177,14.01751045,TABEDO,2.7631902139016704
I40-3-2,-90.05201137,14.01767548,TABEDO,2.9698631231341963
I40-3-1,-90.05212705,14.02008935,TABEDO,3.201934901733722
I42-4-1,-90.34093828,14.10263484,TECTGR,0.15751886475290594
I42-4-2,-90.33844662,14.10278687,TECTGR,0.10968753609876179
I92-9-3,-90.96926062,14.13376007,TABEDO,0.23763315347517733
I92-9-2,-90.97057063,14.13507007,TABEDO,0.21327861512284704
I92-9-1,-90.96918062,14.13635007,TABEDO,0.2182195097531233
I42-14-1,-90.6135825,14.15604223,TABEDO,0.27493021362220016
I42-12-1,-90.17520583,14.20249542,TABEDO,2.4209266323349716
I42-12-2,-90.17326206,14.20746472,TABEDO,2.872075355209115
I42-7-6,-90.30728621,14.24789231,TECTGR,0.30464780802557345
I42-7-8,-90.30888925,14.24830943,TECTGR,0.2533392679001423
I42-7-9,-90.31003764,14.24934995,TECTGR,0.24402456176832354
I42-7-7,-90.30829504,14.24954743,TECTGR,0.42053958839472627
I42-7-5,-90.30670051,14.25000718,TECTGR,0.37368760989447136
I42-7-4,-90.30489293,14.25032211,TECTGR,0.3745958239715467
I92-17-1,-90.87444477,14.2583334,TABEDO,3.5918960341287
I92-20-1,-90.88968036,14.27253812,TECTGR,0.6045157359762046
I92-15-1,-91.19981347,14.27260701,TECTGR,4.258623738342023
I92-14-1,-91.19939998,14.2737743,TECTGR,0.8274006645771662
I92-19-1,-91.20745883,14.28109048,TABEDO,4.220668862149159
I40-1-1,-89.80873579,14.35931952,ACROFR,0.42060772744405583
I40-1-2,-89.81106164,14.35980538,ACROFR,0.38400897369921533
I33-5-1,-89.43822906,14.50401115,SWIEMA,0.26670533247952716
I93-6-1,-91.75746861,14.51248922,TECTGR,0.3322978907405206
I93-12-1,-91.77251026,14.51300463,GMELAR,0.2872563395440177
I93-5-2,-91.7404338,14.51557144,TECTGR,0.32179122831616663
I51-7-1,-90.84516811,14.53341275,ALNUJO,0.4177993253616312
I64-3-2,-91.27419637,14.55798688,PTERMA,0.16117835338002845
I93-3-1,-91.71976083,14.6382254,TABEDO,0.34084555094361707
I94-10-1,-92.08720285,14.71320136,TABEDO,0.34763650644193744
I33-3-1,-89.44943232,14.79944004,CASUEQ,0.41030840566464866
I94-7-1,-92.07502654,14.98755989,TABEDO,0.8813927380140107
I32-11-1,-89.28771952,15.07645137,CEDROD,0.25237560132296616
I32-12-2,-89.2885112,15.07791066,CEDROD,0.2677099425436364
I32-12-1,-89.2791654,15.07912577,CEDROD,0.24467067896766304
I32-13-1,-89.15221229,15.08447933,SWIEMA,1.6292665852059267
I26-32-1,-90.83629673,15.93989031,CALOBR,0.08773791244629903
I26-14-4,-90.83440505,15.99900503,DALBST,1.8157537189867996
I26-14-3,-90.83393887,15.99963845,DALBST,0.4343830204511278
I26-14-1,-90.83202331,15.99967757,DALBST,0.14404779649717694
I26-14-2,-90.83309978,16.00079667,DALBST,1.9878339367594822
I92-16-2,-90.87444477,14.2583334,MIXTAS*,0.40057316659221676
I32-1-1,-89.28023048,15.24541267,MIXTAS*,0.5813274702555743
I26-19-1,-90.85695807,15.89609257,MIXTAS*,0.15605638724807264
I26-25-1,-90.78629945,15.95956711,MIXTAS*,2.4898983958709837
I26-6-1,-90.88024492,15.99185172,MIXTAS*,0.18674263194824992
I26-29-1,-90.83308086,15.99501208,MIXTAS*,0.10126530900557959
I26-24-1,-90.80680958,15.99826889,MIXTAS*,0.14800882433341794
I26-13-1,-90.83270393,15.99875459,MIXTAS*,0.3871652935793698
I26-27-1,-90.87154226,16.00020038,MIXTAS*,1.826217319301711
I26-27-2,-90.87070484,16.00214509,MIXTAS*,0.12391898128541627
I26-35-1,-90.85852238,16.00379268,MIXTAS*,0.14126674517875415
I26-11-2,-90.87743194,16.0063544,MIXTAS*,0.15160822752247194
I26-11-1,-90.87631993,16.00659128,MIXTAS*,0.15703910733738552
I26-26-1,-90.87808857,16.00789874,MIXTAS*,1.5277964365698105
I26-23-1,-90.82354398,16.00890975,MIXTAS*,1.4418122419861001
I26-31-1,-90.87583049,16.00971039,MIXTAS*,0.2539071822977963
I26-30-1,-90.82276982,16.0098238,MIXTAS*,0.16288363264032785
I26-15-1,-90.8033853,16.03261094,MIXTAS*,0.17363887111765713
I26-22-1,-90.76281496,16.03343276,MIXTAS*,0.23934302741607763
I26-20-1,-90.80089344,16.03497349,MIXTAS*,0.24209733968870623
I26-5-2,-90.71039221,16.04221275,MIXTAS*,0.11637301083986623
I26-5-1,-90.71081291,16.04231176,MIXTAS*,0.20734121478840956
I26-17-2,-90.79441907,16.04307191,MIXTAS*,0.06648795137693832
I26-17-1,-90.79205518,16.04361745,MIXTAS*,1.8724940675443924
I26-16-1,-90.79110318,16.04454971,MIXTAS*,0.18925026272755827
I26-18-1,-90.79647853,16.04524734,MIXTAS*,1.6737314184530323
I26-33-1,-90.77907956,16.05523109,MIXTAS*,0.09982744472719295
I26-7-2,-90.85777364,16.05555701,MIXTAS*,0.08163908515322162
I26-37-1,-90.7767145,16.068593,MIXTAS*,0.17755167287070034
I26-34-1,-90.77922364,16.07140974,MIXTAS*,2.1423175768362714
I83-105-2,-90.19790596,16.2963882,PINUMI,0.21442886835532562
I72-12-2,-91.33632413,15.51621189,CUPRLU,0.047223447420236854
I92-21-1,-90.88664229,14.27097061,MIXTAS*,5.790606918129827
I42-7-1,-90.300785,14.25269622,TECTGR,0.2765055271918811
I72-12-3,-91.33666003,15.51629197,CUPRLU,0.07098063606576512
I42-7-3,-90.30409768,14.24820611,TECTGR,0.46166147379592815
I26-12-2,-90.8001939,16.07335174,MIXTAS*,0.16213375951712783
I42-7-2,-90.30250962,14.25188406,TECTGR,0.15632804801162792
I72-12-1,-91.3359699,15.51621324,CUPRLU,0.19238032418192968
I73-15-1,-90.94321768,15.44541973,PINUMI,0.08864949795799519
I42-11-1,-90.17529222,14.20689797,TABEDO,0.2917649868119658
I93-9-1,-91.73737283,14.50400096,SWIEMA,0.16677623273516887
I42-1-2,-90.25425896,14.2943901,PINUOO,0.10656976013475307
I42-13-1,-90.61276643,14.1544154,TABEDO,2.079011522707415
I42-4-3,-90.34178189,14.10155963,TECTGR,1.4343027788030906
